Day,daily_new_cases,daily_recovered_cases,new_deaths,infectious,cumulative_cases,cumulative_infectious,cumulative_recovered,cumulative_deaths,school_closures,workplace_closures,cancel_public_events,restriction_gatherings,stay_home_requirements,facial_coverings,public_information_campaigns,close_public_transport,restrictions_internal_movements,international_travel_controls,testing_policy,contact_tracing,vaccination_policy,childhood_vaccine_availability,vaccine_eligibility_age,income_support,debt_relief,vaccine_eligibility_age_categorical
2020-10-23,849,2418,26,30662,309198,5033558,278536,2387,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-24,247,1291,26,29618,309445,5063176,279827,2413,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-25,604,2655,34,27567,310049,5090743,282482,2447,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-26,883,1280,28,27170,310932,5117913,283762,2475,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-27,885,950,28,27105,311817,5145018,284712,2503,3,3,2,4,2,4,2,1,2,2,1,2,0,0,nil,1,2,0
2020-10-28,724,1281,10,26548,312541,5171566,285993,2513,3,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-10-29,647,1433,19,25762,313188,5197328,287426,2532,2,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-10-30,681,1055,12,25388,313869,5222716,288481,2544,2,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-10-31,228,793,25,24823,314097,5247539,289274,2569,2,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-11-01,657,1498,19,23982,314754,5271521,290772,2588,2,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-11-02,792,910,15,23864,315546,5295385,291682,2603,2,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-11-03,844,720,26,23988,316390,5319373,292402,2629,2,2,1,3,0,4,2,0,0,2,1,2,0,0,nil,1,2,0
2020-11-04,769,630,15,24127,317159,5343500,293032,2644,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
2020-11-05,568,836,14,23859,317727,5367359,293868,2658,2,2,2,3,2,4,2,0,2,3,3,2,0,0,nil,2,1,0
